,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,818.3863468772992,612.8897972709759,818.9773080049735,818.7940045430327,3205260.4420120325,3386035.3012215225,1713065.8031853745,1692636.0963248762,195045.47960518065,249351.33909295956,100224.18824159596,98926.38477128344,5.736115634925444,6.859004660681407,5.527201314486076,5.521793731176809
1,200.0,646.9698455526092,481.18265063825027,666.9656917733957,665.465265954723,2436791.447309252,2572577.87354951,1327276.5668494813,1316382.962083058,152630.10879878612,209913.0066823018,80241.24483392919,79164.24818474325,5.894370827289814,7.544068092859797,5.700904398357812,5.672631323561736
2,300.0,643.9772392466116,484.7842619423577,671.4420580933571,669.624549508232,2450611.86628567,2574213.3532311884,1332787.079377863,1323191.1752271343,155469.7915519955,220370.3200659155,83059.78419741262,81487.85451198112,5.965653113148913,7.885622540903143,5.8664384075881815,5.801172565886136
3,400.0,641.0930416125873,484.37082884069713,669.6546935440393,669.4977764506342,2448335.6102213934,2565486.779557168,1327904.9551689941,1319768.981313574,156182.39496419925,224509.74663870267,85090.18147896325,82880.15278271784,5.996594942067603,8.046954343158957,6.0219727069140765,5.908829996613259
4,500.0,639.4445627752241,484.64178974951665,666.8885978599824,670.0817864698737,2448056.7552431785,2561981.271476224,1323513.81333313,1317022.4822668394,156531.36776158042,226554.0928396758,87000.0401976457,84046.14152392933,6.009831895455296,8.124483402248527,6.1679677927209715,5.99871698621955
5,600.0,638.0222812581554,484.371641517883,663.6562630875728,670.3732557234335,2447520.8378424677,2559396.6078104298,1318680.615731316,1314205.1776693398,156663.67184415174,227597.70960767716,88738.76340619197,84977.4862357514,6.015843779940317,8.166421732015781,6.3050690307087205,6.073366146388701
6,700.0,637.1335196122781,484.72489312961125,661.2186899337652,669.9423160028392,2449599.6004193965,2559561.1945750266,1314760.913222476,1312958.428442727,156926.40674330527,228493.37179357905,90411.8322125947,85812.53683193137,6.020519508037649,8.195441170693723,6.4342147615880005,6.134852592903333
7,800.0,635.9344553761816,484.6368389690491,658.8857186572055,668.3599929265711,2449518.709404426,2557735.9998611896,1309922.7230987311,1311057.4343507634,157158.2563239325,229111.4199488722,91905.29379461486,86466.66415380989,6.029065296167961,8.22116841848799,6.556103365539112,6.187132246687833
8,900.0,633.8552684179599,483.98029628898905,656.0145741400869,665.6189552620681,2443371.9163954887,2550867.5364051973,1302957.14279684,1306657.822321891,157511.49299533982,229290.2995171713,93134.7726205198,86965.53085015871,6.056076655594174,8.247384251157094,6.671106077759735,6.240246380215644
9,1000.0,630.9276685710375,482.4761365232562,652.5685407547275,661.9802714378174,2428302.165775647,2539295.4753545597,1294060.3503993335,1299085.7056997882,159355.45979171246,229090.55008982247,94110.90097700071,87665.7358694135,6.158289961438497,8.275238640284957,6.779487824985016,6.321661780298125
10,1100.0,627.7950284739412,480.8449083569823,649.1300756279784,658.1874498472237,2397783.6561203175,2526558.153044197,1284869.177524257,1287916.684662188,167360.1516295458,228822.12161806977,94953.09468739116,89614.35317541046,6.524396453871866,8.304556859982496,6.881545297511077,6.505432597445067
11,1200.0,624.6554144295884,479.0866584041595,645.83990569047,654.4727698278323,2328202.083127249,2513639.060598157,1275832.2457752086,1268786.953371031,193632.2093908725,228537.36399341244,95699.62783825962,95122.58930871473,7.6782288973287525,8.334159755146013,6.977572280994628,6.974259386866838
12,1300.0,621.6604010969384,477.3567535526366,642.8219492542263,650.9974619696555,2187478.5909676603,2501285.094972734,1267297.4638081165,1233098.6301013823,261358.52578677828,228263.20322836185,96383.29026644681,109016.88408012026,10.672760715631805,8.362673171190938,7.0678778723291105,8.122764615131125
