,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,816.2738037109375,576.5010375976562,813.4448852539062,785.40478515625,3142002.5,3243897.5,1661317.5,1636222.125,182415.453125,253989.9375,103995.1953125,100046.421875,5.487139701843262,7.261238098144531,5.891035079956055,5.762151718139648
1,200.0,644.6978149414062,468.0208740234375,666.7889404296875,656.36181640625,2405065.5,2560568.25,1299893.625,1294240.875,153853.890625,200387.890625,83675.15625,80611.1015625,6.012455463409424,7.25791597366333,6.04777717590332,5.863256931304932
2,300.0,643.208740234375,471.467041015625,668.7243041992188,659.0717163085938,2413912.75,2572187.0,1308764.375,1298284.25,163512.359375,209124.765625,87716.0390625,84825.78125,6.344020366668701,7.518925666809082,6.281222343444824,6.132974624633789
3,400.0,638.95654296875,471.7998352050781,664.9923095703125,658.4526977539062,2424735.5,2560102.25,1295930.75,1300327.25,159271.015625,215405.296875,91739.0234375,83511.78125,6.163723468780518,7.760933876037598,6.6110124588012695,6.034790515899658
4,500.0,636.9229736328125,472.4609069824219,663.1260375976562,656.8690185546875,2410946.25,2532415.25,1288464.5,1304580.125,165577.140625,228248.0625,94600.8515625,82350.5078125,6.42637825012207,8.267870903015137,6.839940547943115,5.937608242034912
5,600.0,634.6071166992188,472.09820556640625,660.7686767578125,656.532470703125,2411482.0,2540213.25,1284164.75,1308821.875,165762.203125,224938.484375,97269.6171875,80155.125,6.431761264801025,8.134760856628418,7.04120397567749,5.770802974700928
6,700.0,633.1456909179688,472.42852783203125,659.167236328125,655.8108520507812,2426279.0,2544290.25,1283875.25,1309759.875,160087.828125,223702.0,97592.9375,79985.453125,6.189680099487305,8.081742286682129,7.0644354820251465,5.7554030418396
7,800.0,631.998291015625,471.2233581542969,657.1236572265625,655.5177001953125,2435730.0,2551314.0,1283496.25,1308763.375,156086.0625,220596.546875,96716.7109375,80409.8828125,6.022266387939453,7.958285331726074,7.007376194000244,5.788326740264893
8,900.0,630.9146728515625,471.2474670410156,655.751708984375,654.56689453125,2426862.5,2561132.0,1288573.125,1315814.25,160876.515625,214441.859375,95845.9765625,77765.109375,6.2168755531311035,7.726037502288818,6.923190593719482,5.58024263381958
9,1000.0,629.9607543945312,470.106201171875,653.6578979492188,653.8565673828125,2394953.0,2568009.0,1290082.75,1328127.5,175167.0,212407.140625,94934.9453125,72749.0078125,6.815518379211426,7.639400482177734,6.8544206619262695,5.193106651306152
10,1100.0,629.0700073242188,470.85662841796875,652.3489379882812,653.1019897460938,2329908.75,2572682.5,1290268.75,1334444.5,206020.078125,209883.65625,94736.1953125,70238.7109375,8.124048233032227,7.542809009552002,6.8401336669921875,5.00032377243042
11,1200.0,628.1851196289062,470.65789794921875,650.9515380859375,651.9317016601562,2236319.0,2577022.0,1285729.5,1333774.875,255530.390625,207673.1875,95777.15625,70641.9140625,10.254647254943848,7.457663059234619,6.932804584503174,5.029982566833496
