,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,808.0438232421875,592.8658447265625,815.9026489257812,818.11474609375,3124160.75,3279862.0,1682804.125,1665610.125,191695.8125,253825.171875,99771.8984375,105946.4609375,5.781185150146484,7.183011531829834,5.597062587738037,5.980416297912598
1,200.0,642.176513671875,474.13177490234375,662.8921508789062,668.846923828125,2391294.25,2528559.75,1318491.625,1301089.375,156664.8125,213749.375,80476.34375,80498.3984375,6.14863920211792,7.794503688812256,5.7525506019592285,5.826513290405273
2,300.0,643.4845581054688,477.8568115234375,661.7310180664062,667.7932739257812,2417829.0,2558012.0,1325665.75,1312305.375,158306.15625,213978.109375,83057.4296875,82205.515625,6.145102500915527,7.719296455383301,5.895937442779541,5.894935607910156
3,400.0,641.0811157226562,477.2943115234375,658.6865234375,664.9652099609375,2401026.25,2556568.75,1323477.5,1307626.375,167024.4375,216038.765625,83771.375,84717.09375,6.5039381980896,7.791898250579834,5.952847003936768,6.08449649810791
4,500.0,638.7572021484375,476.8143005371094,655.6720581054688,662.3801879882812,2414092.5,2549367.25,1315075.625,1300688.125,161174.078125,219100.5625,86708.46875,87251.75,6.25853967666626,7.914145469665527,6.185579299926758,6.286421298980713
5,600.0,636.6433715820312,476.3409729003906,653.0794677734375,659.8385009765625,2423503.5,2542842.5,1311787.625,1297174.125,157198.53125,221998.78125,87728.8671875,88389.6328125,6.091309070587158,8.029350280761719,6.26851224899292,6.379326343536377
6,700.0,634.8233032226562,475.92706298828125,650.54150390625,658.0167846679688,2416445.75,2537063.5,1307997.125,1295996.875,160384.203125,224576.703125,89285.203125,88687.21875,6.224089622497559,8.132003784179688,6.389918327331543,6.40487003326416
7,800.0,633.6148681640625,475.5880126953125,649.5575561523438,656.934326171875,2404108.5,2535145.5,1302346.25,1298737.0,166560.78125,226103.203125,91610.046875,87576.40625,6.479276657104492,8.188440322875977,6.571945667266846,6.317215442657471
8,900.0,632.32373046875,475.4876708984375,647.7379760742188,655.2750244140625,2398859.0,2535855.5,1296643.875,1299559.75,168945.875,226005.578125,93763.6171875,86951.453125,6.579388618469238,8.183090209960938,6.743607044219971,6.271240234375
9,1000.0,631.739013671875,474.9615173339844,647.170654296875,654.666259765625,2401666.25,2538998.5,1293034.375,1287141.0,168443.21875,224461.453125,95124.1015625,92328.875,6.553931713104248,8.122479438781738,6.8525390625,6.6930694580078125
10,1100.0,630.8967895507812,474.7217102050781,645.9818115234375,653.6294555664062,2374463.75,2543478.5,1285914.375,1274838.5,180516.8125,222274.0,97865.921875,97629.6328125,7.065290927886963,8.03665542602539,7.072360038757324,7.1134352684021
11,1200.0,629.0625610351562,474.1512145996094,644.7406005859375,652.227783203125,2278988.0,2543515.5,1281684.75,1243728.5,227655.984375,222208.359375,99180.2734375,111969.9453125,9.08210277557373,8.0343656539917,7.182474613189697,8.259206771850586
12,1300.0,626.9141235351562,473.2408447265625,643.2113037109375,650.947021484375,2127102.0,2541841.75,1281397.5,1195876.75,314580.8125,220990.03125,97679.984375,135361.359375,12.883769989013672,7.998678684234619,7.08299446105957,10.16808032989502
13,1400.0,625.22216796875,472.1314392089844,642.4657592773438,649.90380859375,1935711.125,2533384.75,1278735.875,1127553.875,449942.03125,223431.0625,97168.7578125,174984.0,18.860328674316406,8.104679107666016,7.062171936035156,13.434081077575684
14,1500.0,622.0540771484375,470.8892517089844,640.2247314453125,647.473876953125,1742131.875,2524840.75,1270386.875,1033709.625,617224.625,224369.46875,98492.8203125,239329.359375,26.160720825195312,8.161232948303223,7.195140361785889,18.79984474182129
15,1600.0,620.4625244140625,469.2885437011719,639.6354370117188,646.5693969726562,1573502.125,2521406.0,1266853.0,932280.75,794221.125,222414.078125,97509.59375,325676.53125,33.543663024902344,8.106000900268555,7.146897315979004,25.88931655883789
16,1700.0,616.9396362304688,467.7337951660156,637.3575439453125,644.2217407226562,1435244.125,2507870.0,1258420.875,828072.5625,960345.875,224667.890625,98332.5546875,432583.28125,40.08807373046875,8.221949577331543,7.247636318206787,34.314144134521484
17,1800.0,613.7571411132812,466.010986328125,635.022705078125,641.6793212890625,1314828.625,2501424.75,1251819.5,733925.3125,1124058.75,222702.234375,98037.2734375,549342.5,46.08899688720703,8.175177574157715,7.262791156768799,42.80809783935547
18,1900.0,611.5476684570312,464.1473083496094,633.27734375,639.9331665039062,1233426.5,2493886.75,1248973.5,648905.375,1242140.25,220988.375,96309.328125,674903.6875,50.175994873046875,8.139909744262695,7.159039497375488,50.98194885253906
19,2000.0,608.6098022460938,462.3970642089844,630.877197265625,637.1565551757812,1170850.375,2484791.75,1237912.0,576518.625,1337488.375,220112.875,98268.5234375,798096.8125,53.32168197631836,8.137547492980957,7.354434490203857,58.05963897705078
20,2100.0,605.7864990234375,460.5430603027344,628.44091796875,634.732666015625,1112347.5,2478404.25,1229538.25,514075.96875,1429785.0,217620.5,98856.984375,919034.875,56.243526458740234,8.071903228759766,7.441834926605225,64.12866973876953
21,2200.0,603.4279174804688,458.7729797363281,626.8016967773438,632.7979125976562,1066627.625,2470767.5,1217300.75,452190.40625,1503808.75,216462.421875,101379.109375,1057263.5,58.50402069091797,8.055225372314453,7.687923908233643,70.04278564453125
22,2300.0,601.1082153320312,456.7818603515625,624.9155883789062,630.5682373046875,1029411.5,2459693.0,1205751.0,402082.15625,1564152.5,215955.78125,103763.59375,1181809.875,60.308998107910156,8.071155548095703,7.923820495605469,74.61429595947266
23,2400.0,598.2056274414062,454.7996520996094,622.4387817382812,628.1207275390625,992381.4375,2449414.5,1195787.25,351379.875,1625030.125,214748.375,104908.859375,1323607.875,62.08538818359375,8.06063175201416,8.065593719482422,79.02194213867188
24,2500.0,595.2646484375,452.8109436035156,620.26708984375,625.7233276367188,962645.75,2440420.0,1179285.125,308645.625,1671037.75,213053.859375,109257.9921875,1455571.125,63.448692321777344,8.029243469238281,8.479187965393066,82.50523376464844
25,2600.0,592.2030639648438,450.87738037109375,617.9049682617188,623.0275268554688,940141.9375,2431757.25,1170261.875,275130.03125,1702547.5,211106.546875,109816.0390625,1568935.5,64.4248046875,7.987794876098633,8.578856468200684,85.08024597167969
26,2700.0,590.4658813476562,448.7542724609375,616.2127075195312,621.0563354492188,914044.3125,2417845.75,1158306.75,241474.46875,1743166.125,211085.671875,112048.1484375,1696146.375,65.60135650634766,8.029333114624023,8.82022476196289,87.5375747680664
27,2800.0,587.4061279296875,446.4427185058594,613.6441650390625,618.5897216796875,896747.125,2402116.0,1141760.0,215157.703125,1762394.75,211570.828125,116480.5546875,1802106.625,66.27681732177734,8.094728469848633,9.257415771484375,89.33418273925781
28,2900.0,584.8350219726562,444.51287841796875,611.9168090820312,616.1566162109375,877391.375,2383055.0,1123480.25,189831.078125,1789327.375,214508.609375,122011.6328125,1913653.25,67.09846496582031,8.25806999206543,9.796260833740234,90.97540283203125
29,3000.0,582.2643432617188,442.4822692871094,609.3567504882812,613.407958984375,868499.625,2358683.0,1102527.125,169357.84375,1786974.5,219424.484375,129215.6953125,2009179.875,67.29399871826172,8.511068344116211,10.490476608276367,92.22607421875
