,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,180.59181213378906,180.5923309326172,180.59181213378906,180.59181213378906,453158.25,99792.2265625,445024.5,400758.28125,30778.76171875,5863.0751953125,37583.67578125,23481.845703125,6.360076427459717,5.549248218536377,7.787616729736328,5.535036087036133
1,200.0,148.06869506835938,148.0691680908203,148.06869506835938,148.06869506835938,265221.1875,59248.046875,252037.671875,237889.46875,20622.888671875,3607.69580078125,29433.2890625,14468.5126953125,7.214734077453613,5.739643573760986,10.456954002380371,5.733328819274902
2,300.0,152.1558837890625,152.1563262939453,152.1558837890625,152.1558837890625,283222.5,64024.3359375,259273.484375,256907.796875,24538.23046875,4022.21142578125,40606.7734375,16197.3583984375,7.973152160644531,5.910970687866211,13.540996551513672,5.930813789367676
3,400.0,152.81796264648438,152.8184051513672,152.81796264648438,152.81796264648438,283040.625,64604.59375,248578.03125,258979.703125,26733.94140625,4170.55810546875,50953.3125,16902.490234375,8.630127906799316,6.064047813415527,17.01101303100586,6.126706123352051
4,500.0,152.99183654785156,152.9922637939453,152.99183654785156,152.99183654785156,280880.84375,64612.5546875,235748.15625,258672.421875,28424.986328125,4271.02880859375,62040.046875,17453.49609375,9.18992805480957,6.200357913970947,20.833616256713867,6.320847034454346
5,600.0,153.06814575195312,153.06858825683594,153.06814575195312,153.06814575195312,278770.84375,64525.96484375,222804.734375,257916.8125,29810.90625,4354.15966796875,74121.5078125,17968.505859375,9.660618782043457,6.321358680725098,24.962934494018555,6.513034343719482
6,700.0,153.10812377929688,153.10855102539062,153.10812377929688,153.10812377929688,276943.96875,64417.18359375,210064.578125,257014.578125,30950.189453125,4425.54052734375,87236.765625,18465.68359375,10.052217483520508,6.428479194641113,29.34287452697754,6.70308780670166
7,800.0,153.1270751953125,153.12750244140625,153.1270751953125,153.1270751953125,275398.09375,64302.4375,197611.9375,256041.40625,31881.115234375,4487.21728515625,101390.6796875,18949.14453125,10.37529182434082,6.523098945617676,33.90962600708008,6.890834331512451
8,900.0,153.1358184814453,153.13623046875,153.1358184814453,153.1358184814453,274118.3125,64192.5859375,185499.875,255049.765625,32639.240234375,4540.88525390625,116591.265625,19421.931640625,10.640076637268066,6.606512546539307,38.59473419189453,7.076114654541016
9,1000.0,153.14259338378906,153.1430206298828,153.14259338378906,153.14259338378906,273087.65625,64095.5390625,173762.5,254079.21875,33256.59375,4588.01416015625,132851.015625,19886.5859375,10.855955123901367,6.679931163787842,43.328495025634766,7.25878381729126
10,1100.0,153.15109252929688,153.15151977539062,153.15109252929688,153.15109252929688,272275.4375,64013.859375,162412.578125,253146.8125,33759.484375,4629.64697265625,150178.90625,20344.216796875,11.031250953674316,6.744478702545166,48.043182373046875,7.438714027404785
11,1200.0,153.16128540039062,153.16171264648438,153.16128540039062,153.16128540039062,271640.75,63945.80859375,151449.078125,252251.640625,34168.515625,4666.43603515625,168577.0,20794.60546875,11.17314624786377,6.801170825958252,52.676021575927734,7.615781784057617
12,1300.0,153.1715850830078,153.1719970703125,153.1715850830078,153.1715850830078,271142.40625,63888.00390625,140866.875,251385.453125,34500.05078125,4698.8408203125,188042.03125,21236.966796875,11.287714958190918,6.850936412811279,57.17146301269531,7.789883136749268
13,1400.0,153.18035888671875,153.18077087402344,153.18035888671875,153.18035888671875,270745.625,63837.19140625,130662.234375,250540.125,34767.515625,4727.251953125,208568.4375,21670.44921875,11.380040168762207,6.894611358642578,61.4827766418457,7.960914134979248
14,1500.0,153.1868896484375,153.1873016357422,153.1868896484375,153.1868896484375,270425.09375,63791.3828125,120834.5859375,249711.640625,34982.3828125,4752.080078125,230151.828125,22094.54296875,11.454331398010254,6.9329447746276855,65.57286071777344,8.128786087036133
15,1600.0,153.19100952148438,153.19142150878906,153.19100952148438,153.19100952148438,270162.625,63749.34375,111384.8828125,248898.84375,35154.36328125,4773.73046875,252788.96875,22508.96484375,11.514053344726562,6.966602802276611,69.41436767578125,8.293411254882812
16,1700.0,153.19296264648438,153.19337463378906,153.19296264648438,153.19296264648438,269945.1875,63710.515625,102315.078125,248102.5,35291.8125,4792.60693359375,276478.40625,22913.6171875,11.562101364135742,6.996187686920166,72.98921203613281,8.454706192016602
17,1800.0,153.19302368164062,153.1934356689453,153.19302368164062,153.19302368164062,269762.53125,63674.47265625,93626.7734375,247323.421875,35401.75,4809.0673828125,301219.0,23308.435546875,11.600882530212402,7.022223472595215,76.28775787353516,8.61259937286377
