,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,180.61631774902344,180.6168670654297,180.61631774902344,180.61631774902344,455477.34375,100024.234375,445486.375,401132.21875,29853.8359375,5784.13623046875,37438.0546875,23387.9921875,6.151229381561279,5.466615200042725,7.7523627281188965,5.509276390075684
1,200.0,148.62948608398438,148.62997436523438,148.62948608398438,148.62948608398438,267952.625,59944.10546875,254847.21875,240756.34375,21031.63671875,3647.803955078125,29850.9140625,14599.9033203125,7.2777791023254395,5.736270427703857,10.485111236572266,5.717464447021484
2,300.0,152.04019165039062,152.0406494140625,152.04019165039062,152.04019165039062,281976.65625,63850.05078125,258677.375,256250.171875,24786.466796875,4026.72705078125,40530.59375,16198.0654296875,8.080001831054688,5.932406902313232,13.545960426330566,5.94537353515625
3,400.0,152.69371032714844,152.69415283203125,152.69371032714844,152.69371032714844,282140.84375,64431.33203125,248014.359375,258435.109375,26790.396484375,4169.70751953125,50817.55078125,16835.326171875,8.671960830688477,6.0781989097595215,17.005395889282227,6.115922451019287
4,500.0,152.87721252441406,152.87765502929688,152.87721252441406,152.87721252441406,280719.40625,64454.53125,235181.859375,258519.921875,28128.798828125,4269.58935546875,61953.86328125,17241.0,9.107645034790039,6.212650775909424,20.850358963012695,6.25215482711792
5,600.0,152.9637451171875,152.96417236328125,152.9637451171875,152.9637451171875,278667.5,64395.125,222314.578125,257561.359375,29511.4921875,4347.2763671875,74025.3046875,17866.73828125,9.576087951660156,6.324010372161865,24.979867935180664,6.486897945404053
6,700.0,153.00167846679688,153.00210571289062,153.00167846679688,153.00167846679688,277079.5625,64320.390625,209795.09375,256730.34375,30506.6875,4402.6396484375,86900.0546875,18326.21875,9.918091773986816,6.406352519989014,29.28934097290039,6.6627092361450195
7,800.0,153.039794921875,153.04022216796875,153.039794921875,153.039794921875,275215.8125,64211.6171875,197546.1875,255659.5625,31676.505859375,4473.36083984375,100916.9609375,18900.51171875,10.321701049804688,6.512866020202637,33.81220245361328,6.883925914764404
8,900.0,153.03736877441406,153.03778076171875,153.03736877441406,153.03736877441406,273618.125,64093.41015625,185087.875,254531.953125,32574.38671875,4523.765625,116465.1015625,19406.681640625,10.638531684875488,6.59276008605957,38.62177276611328,7.084317684173584
9,1000.0,153.04896545410156,153.0493927001953,153.04896545410156,153.04896545410156,272446.3125,63991.45703125,173485.484375,253557.75,33290.84765625,4576.01025390625,132574.734375,19885.828125,10.888714790344238,6.673733711242676,43.316551208496094,7.272370338439941
