,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,201.01409912109375,152.8289031982422,202.5115966796875,205.86317443847656,337893.8125,88738.53125,458395.5625,443661.125,22892.05078125,5218.9560546875,39035.2890625,26023.591796875,6.3450517654418945,5.554593563079834,7.847379684448242,5.540651321411133
1,200.0,171.4622039794922,128.67942810058594,175.37831115722656,176.27499389648438,199417.484375,55783.609375,292103.75,307549.03125,15452.5966796875,3387.6943359375,34112.5390625,18690.60546875,7.1915998458862305,5.725231647491455,10.45703125,5.7291035652160645
2,300.0,170.03924560546875,128.54042053222656,174.00076293945312,175.85592651367188,195765.53125,55508.02734375,276174.09375,307161.375,16854.923828125,3476.03662109375,43327.8203125,19338.89453125,7.927235126495361,5.893179416656494,13.561052322387695,5.923086643218994
3,400.0,168.7424774169922,128.1204071044922,173.02102661132812,175.28941345214844,191097.71875,54928.90625,259669.71875,304480.625,17971.138671875,3541.0556640625,53460.265625,19885.98828125,8.59579849243164,6.056196212768555,17.072864532470703,6.13071346282959
4,500.0,168.08497619628906,128.06777954101562,172.61607360839844,175.0609130859375,188538.96875,54693.76953125,245108.015625,303072.4375,19062.62109375,3616.5966796875,64811.2109375,20485.26953125,9.1823091506958,6.202322006225586,20.912290573120117,6.331256866455078
5,600.0,167.42872619628906,128.05262756347656,172.20941162109375,174.8377227783203,186675.5625,54507.04296875,231159.65625,301779.8125,19952.861328125,3676.353759765625,76992.3984375,20994.466796875,9.656396865844727,6.318561553955078,24.985197067260742,6.504379749298096
6,700.0,166.9774627685547,128.0826416015625,171.93406677246094,174.6710205078125,185422.4375,54361.375,217780.125,300448.21875,20729.603515625,3734.71240234375,90249.8828125,21552.228515625,10.055492401123047,6.42850923538208,29.299057006835938,6.693229675292969
7,800.0,166.53099060058594,128.0724639892578,171.6898956298828,174.49935913085938,184296.09375,54170.91796875,204397.40625,298938.28125,21224.150390625,3776.175048828125,104702.0625,22147.037109375,10.327035903930664,6.516590595245361,33.873260498046875,6.897555351257324
8,900.0,166.17282104492188,128.0677032470703,171.49444580078125,174.33087158203125,183410.609375,54059.12109375,191896.4375,297866.875,21799.998046875,3825.674072265625,119914.234375,22713.49609375,10.623231887817383,6.609117031097412,38.4573860168457,7.085117816925049
9,1000.0,165.80116271972656,128.06703186035156,171.33592224121094,174.20433044433594,182535.6875,53916.02734375,179612.078125,296840.65625,22126.986328125,3857.10498046875,136534.953125,23202.314453125,10.811442375183105,6.676295280456543,43.18716812133789,7.249749660491943
