,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,20415177.59892472,20740270.398924742,21012331.198925115,20162910.39904853,6387335814.468603,7687273491.325958,7275111490.501947,7072578550.781347,1536173931.1917262,496613538.4719534,471270333.78444564,505859942.4017218,19.387543910488425,6.0681866289669015,6.083747799610429,6.674989087220952
1,200.0,15912729.598951623,16170217.598951634,16296318.398951825,15734983.999072328,4684189858.085283,6055130457.776571,5630230222.391735,5082613847.54157,2369797247.6530576,403471843.80434096,434881827.9073391,878875268.187731,33.59514572581588,6.247045799763528,7.17021918640225,14.742545882853861
2,300.0,15021518.39896063,15240755.198960636,15349201.598960763,14867846.399080291,4318045969.511058,5466422072.624245,4824160682.727694,3914128163.02189,2887134435.9198756,529164978.7501396,762708839.555365,2238455876.8014917,40.07025880634004,8.825907692038893,13.65181049088983,36.38236978662627
3,400.0,14867585.598965008,15056481.59896501,15164111.998965105,14727297.599084165,3735274241.651306,4488394639.657656,4103163225.904133,3497349197.0393534,3750828141.318536,1531783503.182258,1487210328.3576803,3392206367.4773507,50.103885165280495,25.444155751505154,26.60305816637079,49.23694040510014
4,500.0,14929971.19896758,15096964.798967581,15204547.19896766,14800430.39908644,3252100694.4688888,3944338914.2989244,3584043950.241885,3183805498.446384,4947133354.2862,2508977085.2168283,2429745747.604558,4341477511.215248,60.336530520644615,38.87888157662043,40.40290515105072,57.69188355628978
5,600.0,15099023.998969268,15250151.998969272,15357252.798969334,14978475.199087933,2952009995.350081,3554461456.2099867,3248963885.9571466,2873626990.469191,6005539101.308193,3355718970.2822294,3389420718.6678324,5309338155.50511,67.0444452662686,48.5619587792106,51.05791424477597,64.88281522397902
6,700.0,15316425.598970462,15455980.798970465,15562287.99897052,15203742.39908899,2690790316.3165455,3224312836.727195,2977783335.1303377,2590536648.467271,7098257851.947845,4193510708.594699,4401021793.8811,6343669069.95273,72.51223745082842,56.53289921191733,59.64409842695926,71.0042870053209
7,800.0,15531827.19897135,15662870.398971353,15768419.1989714,15426225.599089775,2444616178.868679,2926995412.5086746,2714195898.659046,2341970803.258285,8268752664.460538,5063314575.285517,5498180867.525122,7431130307.038365,77.18162965712841,63.36818700426037,66.94993452035469,76.03656427138718
8,900.0,15715345.598972037,15839931.19897204,15944804.798972081,15615983.999090383,2217291628.763461,2647994420.26991,2433476380.055682,2122809950.9699578,9543092276.118912,5965565598.041388,6656222367.558878,8550420245.620972,81.14609483247443,69.257839793992,73.22819548123852,80.11089509108507
9,1000.0,15859820.798972582,15979342.398972586,16083582.398972625,15765819.199090868,2001085312.2736123,2333226347.3802123,2183190974.2413816,1925320681.894198,11003894069.84312,6937162246.591311,7840728702.131399,9699500447.042969,84.61292975961712,74.83140729507828,78.22018686574928,83.43784682328075
10,1100.0,15968564.79897303,16084019.198973034,16187545.59897307,15878988.79909126,1738484768.0715497,2004954034.0731308,1961104631.5971751,1740036684.2109509,11963822310.834663,7993259983.638639,9066658986.229935,10900970142.728786,87.31246673964976,79.94687820723414,82.21666060717044,86.2349834310453
11,1200.0,16002139.198973402,16114340.798973406,16216953.598973434,15916094.39909159,1520772739.1599371,1730690585.4343064,1734967094.9603438,1553154671.491927,12640863437.033436,9043372483.682144,10351294122.295376,12169493229.719849,89.26132037118384,83.93650961265223,85.64512992253297,88.68181503545846
12,1300.0,15882679.998973718,15992222.398973718,16093811.198973749,15799425.599091869,1325367604.3394818,1477442700.8769174,1507140505.282788,1362976327.9217048,13180418178.558268,10028651674.33176,11637288053.267212,13471327353.838076,90.8631795328035,87.15947694588485,88.53399751408406,90.81199659140309
13,1400.0,15662507.198973987,15769846.39897399,15870387.198974017,15581471.999092108,1152483382.7301564,1250475249.077557,1323163885.6387637,1200046000.6329122,13614663808.770903,10949391251.331554,12902724440.786188,14855546323.75983,92.19562608955746,89.75009071586462,90.69890150071717,92.52568216490076
14,1500.0,15388499.198974222,15493977.598974224,15593500.79897425,15309252.799092317,1003302819.8974903,1058268983.5965245,1188293573.5042403,1057950670.377422,13973097268.364185,11799106303.764034,14094144971.274158,15779754110.899918,93.3007744585839,91.76916781268059,92.22445050230384,93.71677622264876
15,1600.0,15093238.398974428,15197150.39897443,15295667.198974455,15015428.799092498,875918577.00835,901562788.6621634,1063546693.5364234,942766205.3861977,14284885844.834248,12585399691.293484,14571592156.343521,16571086601.925394,94.22247954240218,93.31530142534268,93.19771507149366,94.61702564387993
16,1700.0,14796953.598974612,14899532.798974613,14997063.998974636,14720300.79909266,767541736.0816871,775215903.8336828,964243046.4426496,861115161.9781071,14573438433.387707,13329211556.302555,15055332638.596424,17448114995.81466,94.99678816084256,94.50374071528462,93.98084527704957,95.29682485524057
17,1800.0,14510239.998974774,14611654.398974776,14708252.798974797,14434537.599092806,675414256.9008529,673681635.6036175,888261763.5888942,813998009.4015381,14856003486.881124,14052936032.11283,15572324247.107159,18432133679.837063,95.65130326127984,95.42541504910218,94.60370509888467,95.77058900694999
18,1900.0,14237401.598974923,14337793.598974923,14433515.198974943,14162484.799092934,597199108.8762162,592977954.2856945,823213180.5562258,754029874.3244212,15145000995.530285,14773988392.4258,15856761192.610416,18435384687.024773,96.20638090663674,96.14121654914283,95.06466159875797,96.07059469212173
19,2000.0,13979367.998975053,14078859.198975053,14173787.198975075,13905124.799093049,531103389.26213187,530381311.3562865,756711907.8662024,694349187.364991,15451920686.991512,15510252811.455967,15805424473.171589,18228578821.1175,96.67707821293214,96.69351406374886,95.43107307863632,96.33064615024833
